amenities,bathrooms,bedrooms,pets_allowed,price,price_type,square_feet,cityname,state
1,0,0.0,1,0,Monthly,0,Colorado Springs,CO
0,0,0.0,1,0,Monthly,0,Giddings,TX
0,0,0.0,1,1,Monthly,1,Watford City,ND
1,0,0.0,1,0,Monthly,0,Mansfield,TX
1,0,0.0,1,0,Monthly,1,Raleigh,NC
1,0,0.0,1,1,Monthly,0,Saint Louis Park,MN
1,0,0.0,1,1,Monthly,0,Issaquah,WA
0,0,0.0,1,0,Monthly,0,Portland,OR
0,0,0.0,1,0,Monthly,0,Venice,FL
1,0,0.0,1,0,Monthly,0,Minneapolis,MN
1,0,0.0,1,0,Monthly,0,Manitowoc,WI
0,0,0.0,1,1,Monthly,1,Newberg,OR
0,0,0.0,1,0,Monthly,0,Cary,NC
1,0,0.0,1,0,Monthly,0,Manchester,NH
0,0,0.0,1,0,Monthly,0,Ames,IA
1,0,0.0,1,0,Monthly,0,Phoenix,AZ
0,0,0.0,1,1,Monthly,0,Saratoga Springs,NY
1,0,0.0,1,0,Monthly,0,Randallstown,MD
1,0,0.0,1,1,Monthly,0,Jersey City,NJ
0,0,0.0,1,1,Monthly,1,Princeton,NJ
1,0,0.0,1,0,Monthly,0,Overland Park,KS
1,0,0.0,1,1,Monthly,0,Chicago,IL
0,0,0.0,1,1,Monthly,1,Orange,CA
0,0,1.0,1,1,Monthly,1,Chesterfield,VA
0,0,0.0,1,0,Monthly,0,Leawood,KS
1,0,0.0,1,0,Monthly,0,Manchester,CT
0,0,0.0,1,1,Monthly,1,Bothell,WA
1,0,1.0,1,1,Monthly,1,Glenn Heights,TX
0,0,0.0,1,0,Monthly,0,Portland,OR
1,0,1.0,1,1,Monthly,1,Buford,GA
1,0,0.0,1,0,Monthly,0,Orlando,FL
1,0,0.0,1,0,Monthly,0,Miami,FL
0,1,1.0,1,1,Monthly,1,Christiansburg,VA
0,0,0.0,1,1,Monthly,1,Bismarck,ND
1,0,0.0,1,0,Monthly,0,Coppell,TX
1,0,0.0,1,0,Monthly,0,Owings Mills,MD
1,0,0.0,1,0,Monthly,0,Lanham,MD
0,0,0.0,1,1,Monthly,0,Washington,DC
0,0,0.0,1,1,Monthly,0,Dallas,TX
1,0,0.0,1,0,Monthly,0,Columbus,OH
0,0,0.0,1,0,Monthly,1,Dallas,OR
1,0,1.0,1,1,Monthly,1,Spring,TX
1,0,0.0,1,1,Monthly,0,Arlington,VA
1,0,0.0,1,0,Monthly,0,Fort Washington,MD
1,0,0.0,1,0,Monthly,0,Denver,CO
0,0,0.0,1,1,Monthly,1,Philadelphia,PA
1,0,0.0,1,1,Monthly,1,Palo Alto,CA
1,0,0.0,1,0,Monthly,1,West Lafayette,IN
0,0,0.0,1,1,Monthly,0,Washington,DC
1,0,0.0,1,0,Monthly,0,Frederick,MD
1,0,0.0,1,0,Monthly,0,Tampa,FL
1,0,0.0,1,1,Monthly,0,Chicago,IL
0,0,0.0,1,1,Monthly,0,La Mesa,CA
1,0,0.0,1,0,Monthly,0,Burnsville,MN
0,0,0.0,1,1,Monthly,1,Olathe,KS
0,0,0.0,1,1,Monthly,0,Seattle,WA
1,0,0.0,1,0,Monthly,0,Raleigh,NC
1,0,0.0,1,0,Monthly,0,Chicago,IL
1,0,0.0,1,1,Monthly,0,Lake Forest Park,WA
1,0,0.0,1,0,Monthly,0,Tyler,TX
0,0,0.0,1,0,Monthly,0,Ames,IA
1,0,0.0,1,1,Monthly,0,Mahtomedi,MN
1,0,0.0,1,0,Monthly,0,Lafayette,IN
0,0,0.0,1,1,Monthly,1,Ridgefield,WA
1,0,0.0,1,1,Monthly,1,Dallas,TX
1,0,0.0,1,0,Monthly,1,Saint Cloud,MN
1,0,0.0,1,0,Monthly,0,Ozark,MO
0,0,0.0,1,0,Monthly,0,Omaha,NE
1,0,0.0,1,1,Monthly,1,Buffalo,NY
0,0,0.0,1,0,Monthly,0,Austin,TX
1,0,0.0,1,0,Monthly,0,Ypsilanti,MI
0,0,0.0,1,1,Monthly,0,Milwaukee,WI
1,0,0.0,1,0,Monthly,0,Reno,NV
0,0,0.0,1,1,Monthly,1,Los Angeles,CA
0,0,0.0,1,0,Monthly,0,Portland,OR
1,0,0.0,1,0,Monthly,0,North Salt Lake,UT
1,0,0.0,1,0,Monthly,1,Phoenix,AZ
0,0,1.0,1,1,Monthly,1,Tuscaloosa,AL
0,0,0.0,1,0,Monthly,0,Lakewood,CO
1,0,1.0,1,1,Monthly,1,Madison,WI
0,0,0.0,1,0,Monthly,1,Tulsa,OK
0,0,0.0,1,0,Monthly,0,Johnson City,TN
1,0,0.0,1,0,Monthly,1,Bloomington,IN
1,0,0.0,1,0,Monthly,0,Chicago,IL
1,0,0.0,1,0,Monthly,0,Lawrenceville,GA
1,0,0.0,1,0,Monthly,0,Chicago,IL
1,0,0.0,1,1,Monthly,0,Bainbridge Island,WA
0,0,1.0,1,1,Monthly,1,Binghamton,NY
0,0,0.0,1,1,Monthly,1,West Caldwell,NJ
1,0,0.0,1,1,Monthly,1,Charlestown,MA
0,0,0.0,1,1,Monthly,0,Philadelphia,PA
1,0,0.0,1,1,Monthly,1,Santa Monica,CA
0,0,0.0,1,1,Monthly,0,Bridgewater,NJ
0,0,0.0,1,1,Monthly,1,Saint Louis,MO
1,0,0.0,1,0,Monthly,1,Tea,SD
1,0,0.0,1,1,Monthly,1,Cary,NC
1,0,0.0,1,1,Monthly,0,Suwanee,GA
1,0,0.0,1,1,Monthly,1,Fall River,MA
0,0,0.0,1,0,Monthly,0,Coeur D Alene,ID
1,0,0.0,1,1,Monthly,0,Tampa,FL
1,0,0.0,1,0,Monthly,1,Jackson,WI
1,0,0.0,1,1,Monthly,1,Austin,TX
1,0,0.0,1,0,Monthly,0,Cincinnati,OH
0,0,0.0,1,1,Monthly,0,San Francisco,CA
1,0,0.0,1,0,Monthly,1,Marietta,GA
1,0,0.0,1,1,Monthly,0,Warren,RI
1,0,0.0,1,0,Monthly,0,Champaign,IL
1,0,0.0,1,0,Monthly,0,Wilmington,NC
0,0,0.0,1,0,Monthly,0,Dallas,TX
1,0,0.0,1,0,Monthly,0,Lynnwood,WA
1,0,0.0,1,0,Monthly,0,Saint Louis,MO
1,0,0.0,1,1,Monthly,0,Denver,CO
0,0,0.0,1,0,Monthly,0,Saint Louis,MO
0,0,0.0,1,1,Monthly,0,Honolulu,HI
1,0,0.0,1,0,Monthly,1,Alexandria,LA
1,0,0.0,1,0,Monthly,0,Houston,TX
0,0,0.0,1,0,Monthly,1,Clayton,NC
1,0,0.0,1,0,Monthly,0,Bloomington,IN
1,0,0.0,1,1,Monthly,1,Austin,TX
0,0,0.0,1,1,Monthly,1,Charlotte,NC
1,0,0.0,1,1,Monthly,0,Fairfax,VA
1,0,0.0,1,0,Monthly,0,Castle Hills,TX
1,0,0.0,1,0,Monthly,0,Corpus Christi,TX
1,0,0.0,1,0,Monthly,1,Cincinnati,OH
0,0,0.0,1,0,Monthly,1,Baton Rouge,LA
0,0,0.0,1,1,Monthly,1,Charlotte,NC
0,0,0.0,1,0,Monthly,0,Houston,TX
1,0,0.0,1,1,Monthly,1,East Orange,NJ
1,0,0.0,1,0,Monthly,0,San Antonio,TX
1,0,0.0,1,1,Monthly,1,Cedar Hill,TX
1,0,0.0,1,0,Monthly,1,Olathe,KS
0,0,0.0,1,0,Monthly,0,Austin,TX
1,0,1.0,1,1,Monthly,1,Dallas,GA
1,0,0.0,1,1,Monthly,1,Jacksonville,FL
0,0,0.0,1,1,Monthly,0,Chicago,IL
0,0,0.0,1,0,Monthly,0,Saint Louis,MO
1,0,0.0,1,1,Monthly,0,Yonkers,NY
1,0,0.0,1,0,Monthly,0,Chicago,IL
0,0,0.0,1,1,Monthly,1,Vancouver,WA
1,0,0.0,1,0,Monthly,1,Tyler,TX
1,0,0.0,1,0,Monthly,0,Euless,TX
1,0,0.0,1,0,Monthly,0,Wichita,KS
0,0,0.0,1,1,Monthly,1,Oregon City,OR
0,0,0.0,1,1,Monthly,1,San Antonio,TX
1,0,1.0,1,0,Monthly,1,Manchester,NH
0,0,0.0,1,1,Monthly,1,Los Angeles,CA
1,0,0.0,1,0,Monthly,0,Houston,TX
0,1,1.0,1,1,Monthly,1,Castle Rock,CO
1,0,0.0,1,0,Monthly,0,Baton Rouge,LA
0,0,0.0,1,0,Monthly,0,Columbia,SC
0,0,0.0,1,1,Monthly,0,San Francisco,CA
1,0,0.0,1,0,Monthly,1,Arlington,TX
0,0,0.0,1,0,Monthly,0,Harrisburg,SD
0,0,0.0,1,1,Monthly,1,Kent,WA
1,0,0.0,1,0,Monthly,0,North Kansas City,MO
1,0,0.0,1,0,Monthly,0,Madison,WI
1,0,0.0,1,0,Monthly,1,Spring,TX
0,0,0.0,1,0,Monthly,0,Chicago,IL
0,0,0.0,1,0,Monthly,0,Kingsport,TN
1,0,0.0,1,0,Monthly,0,Greenfield,WI
1,0,0.0,1,0,Monthly,0,Charlotte,NC
0,0,0.0,1,0,Monthly,1,Omaha,NE
0,0,0.0,1,0,Monthly,0,Sioux Falls,SD
0,0,0.0,1,0,Monthly,0,Baton Rouge,LA
1,0,0.0,1,0,Monthly,0,Marietta,GA
0,0,0.0,1,0,Monthly,1,Sioux Falls,SD
0,0,0.0,1,0,Monthly,0,Lakewood,WA
0,0,0.0,1,0,Monthly,1,Sour Lake,TX
1,0,0.0,1,0,Monthly,0,Madison,WI
0,0,0.0,1,1,Monthly,0,Austin,TX
1,0,0.0,1,1,Monthly,0,Minneapolis,MN
1,0,0.0,1,0,Monthly,1,Arlington,TX
1,0,1.0,1,0,Monthly,1,Kennesaw,GA
1,0,0.0,1,1,Monthly,1,Silver Spring,MD
1,0,0.0,1,1,Monthly,1,Cumming,GA
0,0,0.0,1,0,Monthly,0,Church Hill,TN
1,0,0.0,1,0,Monthly,0,Houston,TX
1,0,0.0,1,1,Monthly,0,Detroit,MI
1,0,0.0,1,0,Monthly,0,Greensboro,NC
0,0,0.0,1,1,Monthly,1,Murrieta,CA
0,0,0.0,1,1,Monthly,1,Reston,VA
1,0,0.0,1,0,Monthly,0,Silver Spring,MD
1,0,0.0,1,0,Monthly,0,Youngsville,NC
0,0,1.0,1,1,Monthly,1,Trenton,OH
1,0,0.0,1,0,Monthly,1,Marietta,GA
1,0,0.0,1,1,Monthly,1,Hackensack,NJ
0,0,0.0,1,1,Monthly,1,Troutdale,OR
1,0,0.0,1,0,Monthly,0,Austin,TX
1,0,0.0,1,0,Monthly,0,Colorado Springs,CO
0,0,0.0,1,1,Monthly,1,Valley Village,CA
1,0,0.0,1,1,Monthly,0,Concord,CA
1,0,0.0,1,1,Monthly,0,Waldorf,MD
0,0,0.0,1,1,Monthly,0,Arlington,VA
0,0,0.0,1,1,Monthly,0,Miami Beach,FL
1,0,0.0,1,0,Monthly,0,Apex,NC
1,0,0.0,1,0,Monthly,0,Houston,TX
1,0,0.0,1,0,Monthly,1,Kernersville,NC
1,0,0.0,1,0,Monthly,0,Houston,TX
0,0,1.0,1,1,Monthly,1,Chicago,IL
1,0,0.0,1,0,Monthly,0,Winter Park,FL
1,0,0.0,1,0,Monthly,0,Burnsville,MN
1,0,0.0,1,1,Monthly,0,Evanston,IL
1,0,0.0,1,0,Monthly,0,Manchester,NH
1,0,0.0,1,1,Monthly,0,Arlington,VA
0,0,0.0,1,0,Monthly,0,Kokomo,IN
1,0,0.0,1,0,Monthly,1,Edmond,OK
1,0,0.0,1,0,Monthly,1,Lebanon,OH
1,0,0.0,1,0,Monthly,0,Las Vegas,NV
1,0,0.0,1,0,Monthly,0,Winter Park,FL
0,0,0.0,1,0,Monthly,0,Minot,ND
1,0,0.0,1,0,Monthly,0,New London,CT
1,0,0.0,1,1,Monthly,0,Lynnwood,WA
1,0,0.0,1,0,Monthly,0,Houston,TX
1,0,0.0,1,0,Monthly,0,Sun Prairie,WI
0,1,1.0,1,1,Monthly,1,Mooresville,NC
1,0,0.0,1,0,Monthly,0,Oklahoma City,OK
1,0,0.0,1,0,Monthly,0,Venice,FL
0,0,0.0,1,1,Monthly,1,Springtown,TX
1,0,0.0,1,0,Monthly,0,Columbus,OH
1,0,0.0,1,1,Monthly,0,Los Angeles,CA
1,0,0.0,1,0,Monthly,0,Altamonte Springs,FL
0,0,0.0,1,0,Monthly,0,Overland Park,KS
1,0,0.0,1,0,Monthly,0,Dallas,TX
1,0,0.0,1,1,Monthly,0,Plainsboro,NJ
1,0,0.0,1,1,Monthly,0,Madison,WI
1,0,0.0,1,0,Monthly,0,Rocky Mount,NC
1,0,0.0,1,1,Monthly,1,Los Angeles,CA
1,0,0.0,1,0,Monthly,0,Orlando,FL
1,0,0.0,1,0,Monthly,0,Las Vegas,NV
1,0,0.0,1,0,Monthly,0,Baton Rouge,LA
1,0,0.0,1,1,Monthly,1,Signal Hill,CA
1,0,1.0,1,1,Monthly,1,Richmond,TX
1,0,0.0,1,0,Monthly,1,Morrisville,NC
1,0,0.0,1,0,Monthly,0,Ann Arbor,MI
0,0,0.0,1,1,Monthly,0,La Jolla,CA
1,0,0.0,1,0,Monthly,0,,
0,0,0.0,1,1,Monthly,1,Tuscaloosa,AL
1,0,0.0,1,1,Monthly,0,Washington,DC
0,0,0.0,1,1,Monthly,1,Los Angeles,CA
1,0,0.0,1,0,Monthly,0,Toledo,OH
1,0,0.0,1,0,Monthly,0,Lakewood,CO
0,0,0.0,1,1,Monthly,1,Denver,CO
0,0,0.0,1,1,Monthly,1,Palo Alto,CA
1,0,0.0,1,0,Monthly,0,Dallas,TX
1,0,0.0,1,0,Monthly,1,Sioux Falls,SD
1,0,0.0,1,0,Monthly,0,Randallstown,MD
1,0,0.0,1,0,Monthly,0,West Des Moines,IA
0,0,0.0,1,1,Monthly,1,Lawrenceville,GA
1,0,0.0,1,0,Monthly,0,Dayton,OH
1,0,0.0,1,0,Monthly,0,Sterling Heights,MI
1,0,0.0,1,1,Monthly,0,Los Angeles,CA
1,0,0.0,1,1,Monthly,1,Odessa,TX
1,0,0.0,1,0,Monthly,1,Euless,TX
1,0,0.0,1,1,Monthly,0,Livermore,CA
1,0,0.0,1,0,Monthly,0,Milwaukee,WI
1,0,0.0,1,0,Monthly,0,Madison,WI
0,0,0.0,1,0,Monthly,1,Clayton,NC
1,0,0.0,1,0,Monthly,0,Philadelphia,PA
0,0,0.0,1,0,Monthly,0,Moorhead,MN
0,0,0.0,1,0,Monthly,1,Junction City,KS
0,0,0.0,1,0,Monthly,0,Chicago,IL
0,0,0.0,1,0,Monthly,0,Saint Louis Park,MN
1,0,0.0,1,0,Monthly,0,Pittsburgh,PA
1,0,0.0,1,0,Monthly,0,Sioux Falls,SD
1,0,0.0,1,0,Monthly,0,Austin,TX
1,0,0.0,1,1,Monthly,1,Charlotte,NC
1,0,0.0,1,0,Monthly,0,Houston,TX
0,0,0.0,1,1,Monthly,0,Pasadena,CA
0,0,0.0,1,0,Monthly,1,Springfield,MO
0,0,0.0,1,1,Monthly,0,Atlanta,GA
1,0,0.0,1,0,Monthly,0,Kansas City,MO
1,0,0.0,1,1,Monthly,1,Lynnwood,WA
1,0,0.0,1,0,Monthly,1,Graham,NC
0,0,0.0,1,0,Monthly,0,Baltimore,MD
1,0,0.0,1,1,Monthly,0,New Rochelle,NY
0,0,0.0,1,0,Monthly,0,Milwaukee,WI
1,0,0.0,1,1,Monthly,1,Manson,NC
1,0,0.0,1,0,Monthly,0,Tallahassee,FL
1,0,0.0,1,1,Monthly,0,Harrison,NJ
1,0,0.0,1,1,Monthly,0,Minneapolis,MN
1,0,0.0,1,1,Monthly,1,Hackensack,NJ
1,0,0.0,1,0,Monthly,0,Saint Francis,WI
1,0,0.0,1,1,Monthly,0,Austin,TX
0,0,0.0,1,0,Monthly,0,Kenmore,WA
1,0,0.0,1,0,Monthly,0,Dallas,TX
1,0,0.0,1,1,Monthly,1,Mequon,WI
0,0,0.0,1,1,Monthly,1,Milan,IL
1,0,0.0,1,1,Monthly,0,Cambridge,MA
0,0,0.0,1,1,Monthly,1,La Vista,NE
1,0,0.0,1,0,Monthly,0,Kansas City,MO
1,0,1.0,1,1,Monthly,1,Pasadena,CA
0,0,0.0,1,0,Monthly,0,Lexington,KY
1,0,0.0,1,0,Monthly,0,Houston,TX
1,0,0.0,1,1,Monthly,1,Charlotte,NC
0,0,0.0,1,1,Monthly,0,State College,PA
1,0,1.0,1,0,Monthly,0,East Lansing,MI
1,0,0.0,1,1,Monthly,0,Woodland Hills,CA
1,0,0.0,1,0,Monthly,1,Redding,CA
1,0,0.0,1,0,Monthly,1,Fremont,NE
1,0,0.0,1,0,Monthly,0,Tucson,AZ
0,0,0.0,1,1,Monthly,0,Atlanta,GA
1,0,0.0,1,0,Monthly,0,Houston,TX
1,0,0.0,1,0,Monthly,1,Raleigh,NC
1,0,0.0,1,1,Monthly,1,Bothell,WA
1,0,0.0,1,0,Monthly,0,Bloomington,IL
1,0,0.0,1,0,Monthly,0,Alexandria,VA
1,0,0.0,1,0,Monthly,1,Cumming,GA
0,0,1.0,1,1,Monthly,1,Seattle,WA
0,0,0.0,1,0,Monthly,1,Lubbock,TX
0,0,0.0,1,0,Monthly,0,Sioux Falls,SD
1,0,0.0,1,0,Monthly,0,Moraine,OH
1,0,0.0,1,0,Monthly,0,Kansas City,MO
1,0,0.0,1,0,Monthly,1,Dallas,GA
0,0,0.0,1,1,Monthly,1,Portland,OR
0,0,0.0,1,1,Monthly,0,Portland,OR
1,0,0.0,1,0,Monthly,0,Oklahoma City,OK
1,0,0.0,1,1,Monthly,0,Plainsboro,NJ
0,0,0.0,1,1,Monthly,0,,
1,0,0.0,1,0,Monthly,1,Houston,TX
1,0,0.0,1,0,Monthly,1,Clairton,PA
1,0,0.0,1,1,Monthly,0,Jersey City,NJ
1,0,0.0,1,0,Monthly,0,Dallas,TX
1,0,0.0,1,0,Monthly,0,Dallas,TX
1,0,0.0,1,0,Monthly,0,Fort Worth,TX
1,0,0.0,1,1,Monthly,0,Westfield,NJ
0,0,0.0,1,1,Monthly,1,Seattle,WA
1,0,0.0,1,0,Monthly,1,Las Vegas,NV
1,0,0.0,1,0,Monthly,0,Milwaukee,WI
0,0,0.0,1,1,Monthly,1,Saint Louis,MO
1,0,0.0,1,0,Monthly,0,Hickory,NC
0,0,0.0,1,0,Monthly,0,Salt Lake City,UT
1,0,0.0,1,1,Monthly,0,North Hollywood,CA
1,0,0.0,1,1,Monthly,1,Montclair,NJ
1,0,0.0,1,0,Monthly,1,Douglasville,GA
1,0,0.0,1,0,Monthly,0,West Des Moines,IA
0,0,0.0,1,1,Monthly,0,Silver Spring,MD
0,0,0.0,1,0,Monthly,0,Austin,TX
1,0,0.0,1,0,Monthly,1,Roswell,GA
1,0,0.0,1,0,Monthly,0,Odessa,TX
1,0,0.0,1,0,Monthly,0,Kansas City,MO
1,0,0.0,1,0,Monthly,0,Des Moines,IA
1,0,0.0,1,0,Monthly,0,Wichita,KS
0,0,0.0,1,1,Monthly,1,Agoura Hills,CA
0,0,0.0,1,0,Monthly,1,Richardson,TX
0,0,0.0,1,1,Monthly,0,,
1,0,0.0,1,0,Monthly,0,Broadway,NC
0,0,0.0,1,0,Monthly,0,Glendale,AZ
1,0,0.0,1,0,Monthly,1,Grapevine,TX
1,0,0.0,1,1,Monthly,1,Brandon,FL
1,0,0.0,1,0,Monthly,0,Houston,TX
1,0,0.0,1,1,Monthly,1,Bloomingdale,NJ
1,0,0.0,1,1,Monthly,1,Pasadena,MD
1,0,0.0,1,0,Monthly,0,Virginia Beach,VA
1,0,0.0,1,0,Monthly,0,West Des Moines,IA
1,0,0.0,1,0,Monthly,0,Houston,TX
1,0,0.0,1,0,Monthly,1,Humble,TX
1,0,0.0,1,0,Monthly,1,Houston,TX
1,0,1.0,1,0,Monthly,1,Acworth,GA
0,0,0.0,1,0,Monthly,1,Tulsa,OK
0,0,0.0,1,0,Monthly,0,West Columbia,SC
1,0,0.0,1,0,Monthly,0,Norman,OK
0,0,1.0,1,0,Monthly,1,Concord,NC
0,0,0.0,1,1,Monthly,1,Portland,OR
0,0,0.0,1,0,Monthly,0,Bellingham,WA
1,0,0.0,1,1,Monthly,1,Charlotte,NC
0,0,0.0,1,1,Monthly,1,Fremont,CA
0,0,0.0,1,1,Monthly,1,Red Bluff,CA
0,0,0.0,1,0,Monthly,1,Lubbock,TX
1,0,0.0,1,0,Monthly,0,Alexandria,VA
1,0,0.0,1,1,Monthly,1,Denver,CO
1,0,0.0,1,0,Monthly,0,Tampa,FL
0,0,0.0,1,0,Monthly,1,Fond Du Lac,WI
1,0,0.0,1,0,Monthly,0,Houston,TX
0,0,0.0,1,0,Monthly,0,Ames,IA
1,0,0.0,1,1,Monthly,0,Laurel,MD
1,0,0.0,1,0,Monthly,0,Vancouver,WA
0,0,0.0,1,1,Monthly,0,Palo Alto,CA
1,0,0.0,1,0,Monthly,0,Macon,GA
1,0,0.0,1,0,Monthly,0,Kansas City,MO
1,0,0.0,1,0,Monthly,0,Colorado Springs,CO
1,0,0.0,1,0,Monthly,0,Plymouth,MN
0,0,0.0,1,1,Monthly,1,Lemon Grove,CA
1,0,0.0,1,0,Monthly,0,West Fargo,ND
0,0,0.0,1,0,Monthly,0,Houston,TX
1,0,0.0,1,0,Monthly,0,Longview,TX
1,0,0.0,1,1,Monthly,0,Phoenix,AZ
1,0,0.0,1,0,Monthly,0,Norman,OK
0,0,0.0,1,0,Monthly,1,Columbia,MO
1,0,0.0,1,0,Monthly,0,Milwaukee,WI
1,0,0.0,1,1,Monthly,0,Austin,TX
0,0,0.0,1,1,Monthly,0,Los Angeles,CA
0,0,0.0,1,0,Monthly,0,San Antonio,TX
1,0,0.0,1,0,Monthly,0,Loveland,OH
1,0,0.0,1,0,Monthly,0,Dallas,TX
0,0,0.0,1,0,Monthly,0,Salem,OR
0,0,0.0,1,0,Monthly,0,Anderson,SC
1,0,0.0,1,0,Monthly,0,Madison,WI
1,0,0.0,1,0,Monthly,0,Kansas City,MO
1,0,0.0,1,0,Monthly,1,Gastonia,NC
1,0,0.0,1,1,Monthly,0,Kirkland,WA
0,0,0.0,1,0,Monthly,0,Sioux Falls,SD
0,0,0.0,1,1,Monthly,1,Oxford,MS
0,0,1.0,1,1,Monthly,1,Lexington,SC
1,0,0.0,1,0,Monthly,0,Jacksonville,FL
1,0,0.0,1,0,Monthly,0,Anchorage,AK
1,0,0.0,1,0,Monthly,0,Springfield,MO
1,0,0.0,1,0,Monthly,0,Dallas,TX
1,0,0.0,1,1,Monthly,0,Fulton,MD
1,0,0.0,1,1,Monthly,1,East Rutherford,NJ
1,0,0.0,1,0,Monthly,1,Cedar Falls,IA
1,0,0.0,1,1,Monthly,0,Norwalk,CA
0,0,0.0,1,1,Monthly,1,Coronado,CA
0,0,0.0,1,1,Monthly,0,Austin,TX
1,0,0.0,1,1,Monthly,1,Owings Mills,MD
1,0,0.0,1,0,Monthly,0,Altamonte Springs,FL
1,0,0.0,1,0,Monthly,0,Jackson,MI
1,0,0.0,1,0,Monthly,0,Oklahoma City,OK
0,0,0.0,1,1,Monthly,1,Christiansburg,VA
1,0,0.0,1,0,Monthly,0,Ramsey,MN
1,0,0.0,1,0,Monthly,0,Lawrenceville,GA
1,0,0.0,1,0,Monthly,0,Cincinnati,OH
0,0,0.0,1,0,Monthly,0,Saint Louis,MO
1,0,0.0,1,0,Monthly,0,Kent,WA
1,0,0.0,1,1,Monthly,1,Lawrence,NJ
1,0,0.0,1,0,Monthly,0,East Lansing,MI
1,0,0.0,1,0,Monthly,1,Irmo,SC
1,0,0.0,1,0,Monthly,0,Kansas City,MO
1,0,0.0,1,0,Monthly,0,Minneapolis,MN
1,0,0.0,1,0,Monthly,0,Menomonee Falls,WI
0,0,0.0,1,0,Monthly,0,San Antonio,TX
1,0,0.0,1,0,Monthly,1,Smyrna,GA
0,0,0.0,1,1,Monthly,1,Bismarck,ND
1,0,0.0,1,0,Monthly,0,Austin,TX
1,0,0.0,1,0,Monthly,0,Kansas City,MO
0,0,0.0,1,1,Monthly,0,Hayward,CA
1,0,0.0,1,0,Monthly,1,Houston,TX
1,0,0.0,1,1,Monthly,0,Austin,TX
1,0,0.0,1,0,Monthly,0,Euless,TX
1,0,1.0,1,1,Monthly,1,Urbana,IL
1,0,0.0,1,1,Monthly,1,Mukwonago,WI
0,0,0.0,1,0,Monthly,0,Renton,WA
0,0,0.0,1,1,Monthly,0,Los Angeles,CA
1,0,0.0,1,1,Monthly,0,Manchester,CT
0,0,0.0,1,1,Monthly,1,San Antonio,TX
0,0,0.0,1,0,Monthly,0,Lawrence,KS
1,0,0.0,1,0,Monthly,0,Chapel Hill,NC
0,0,0.0,1,1,Monthly,0,Sherman Oaks,CA
0,0,0.0,1,0,Monthly,0,Omaha,NE
1,0,0.0,1,0,Monthly,0,Houston,TX
1,0,0.0,1,1,Monthly,0,Washington,DC
1,0,0.0,1,0,Monthly,0,Dallas,TX
0,0,0.0,1,1,Monthly,0,Palo Alto,CA
0,0,0.0,1,1,Monthly,1,San Diego,CA
1,0,0.0,1,0,Monthly,0,Lubbock,TX
1,0,0.0,1,1,Monthly,1,Linthicum Heights,MD
0,0,0.0,1,1,Monthly,0,White Plains,NY
0,0,0.0,1,1,Monthly,1,Seattle,WA
1,0,0.0,1,0,Monthly,0,New Kensington,PA
1,0,0.0,1,0,Monthly,0,Spring Hill,TN
1,0,0.0,1,0,Monthly,0,Sugar Land,TX
